timeframe,tp,sl,hold,min_adx,min_rsi,win_rate,total_signals
4h,0.01,0.015,5,18,48,47.82608695652174,23
4h,0.01,0.015,5,18,52,47.61904761904761,21
4h,0.01,0.015,5,18,56,42.857142857142854,14
4h,0.01,0.015,5,22,48,40.0,20
4h,0.01,0.015,5,22,52,42.10526315789473,19
4h,0.01,0.015,5,22,56,42.857142857142854,14
4h,0.01,0.015,10,14,48,83.33333333333334,18
4h,0.01,0.015,10,14,52,81.25,16
4h,0.01,0.015,10,14,56,77.77777777777779,9
4h,0.01,0.015,10,18,48,83.33333333333334,18
4h,0.01,0.015,10,18,52,81.25,16
4h,0.01,0.015,10,18,56,77.77777777777779,9
4h,0.01,0.015,10,22,48,80.0,15
4h,0.01,0.015,10,22,52,78.57142857142857,14
4h,0.01,0.015,10,22,56,77.77777777777779,9
4h,0.01,0.015,15,14,48,100.0,13
4h,0.01,0.015,15,14,52,100.0,11
4h,0.01,0.015,15,14,56,100.0,4
4h,0.01,0.015,15,18,48,100.0,13
4h,0.01,0.015,15,18,52,100.0,11
4h,0.01,0.015,15,18,56,100.0,4
4h,0.01,0.015,15,22,48,100.0,10
4h,0.01,0.015,15,22,52,100.0,9
4h,0.01,0.015,15,22,56,100.0,4
4h,0.01,0.02,5,14,48,47.82608695652174,23
4h,0.01,0.02,5,14,52,47.61904761904761,21
4h,0.01,0.02,5,14,56,42.857142857142854,14
4h,0.01,0.02,5,18,48,47.82608695652174,23
4h,0.01,0.02,5,18,52,47.61904761904761,21
4h,0.01,0.02,5,18,56,42.857142857142854,14
4h,0.01,0.02,5,22,48,40.0,20
4h,0.01,0.02,5,22,52,42.10526315789473,19
4h,0.01,0.02,5,22,56,42.857142857142854,14
4h,0.01,0.02,10,14,48,83.33333333333334,18
4h,0.01,0.02,10,14,52,81.25,16
4h,0.01,0.02,10,14,56,77.77777777777779,9
4h,0.01,0.02,10,18,48,83.33333333333334,18
4h,0.01,0.02,10,18,52,81.25,16
4h,0.01,0.02,10,18,56,77.77777777777779,9
4h,0.01,0.02,10,22,48,80.0,15
4h,0.01,0.02,10,22,52,78.57142857142857,14
4h,0.01,0.02,10,22,56,77.77777777777779,9
4h,0.01,0.02,15,14,48,100.0,13
4h,0.01,0.02,15,14,52,100.0,11
4h,0.01,0.02,15,14,56,100.0,4
4h,0.01,0.02,15,18,48,100.0,13
4h,0.01,0.02,15,18,52,100.0,11
4h,0.01,0.02,15,18,56,100.0,4
4h,0.01,0.02,15,22,48,100.0,10
4h,0.01,0.02,15,22,52,100.0,9
4h,0.01,0.02,15,22,56,100.0,4
4h,0.02,0.01,5,14,48,21.73913043478261,23
4h,0.02,0.01,5,14,52,19.047619047619047,21
4h,0.02,0.01,5,14,56,14.285714285714285,14
4h,0.02,0.01,5,18,48,21.73913043478261,23
4h,0.02,0.01,5,18,52,19.047619047619047,21
4h,0.02,0.01,5,18,56,14.285714285714285,14
4h,0.02,0.01,5,22,48,10.0,20
4h,0.02,0.01,5,22,52,10.526315789473683,19
4h,0.02,0.01,5,22,56,14.285714285714285,14
4h,0.02,0.01,10,14,48,61.111111111111114,18
4h,0.02,0.01,10,14,52,56.25,16
4h,0.02,0.01,10,14,56,44.44444444444444,9
4h,0.02,0.01,10,18,48,61.111111111111114,18
4h,0.02,0.01,10,18,52,56.25,16
4h,0.02,0.01,10,18,56,44.44444444444444,9
4h,0.02,0.01,10,22,48,53.333333333333336,15
4h,0.02,0.01,10,22,52,50.0,14
4h,0.02,0.01,10,22,56,44.44444444444444,9
4h,0.02,0.01,15,14,48,100.0,13
4h,0.02,0.01,15,14,52,100.0,11
4h,0.02,0.01,15,14,56,100.0,4
4h,0.02,0.01,15,18,48,100.0,13
4h,0.02,0.01,15,18,52,100.0,11
4h,0.02,0.01,15,18,56,100.0,4
4h,0.02,0.01,15,22,48,100.0,10
4h,0.02,0.01,15,22,52,100.0,9
4h,0.02,0.01,15,22,56,100.0,4
4h,0.02,0.015,5,14,48,21.73913043478261,23
4h,0.02,0.015,5,14,52,19.047619047619047,21
4h,0.02,0.015,5,14,56,14.285714285714285,14
4h,0.02,0.015,5,18,48,21.73913043478261,23
4h,0.02,0.015,5,18,52,19.047619047619047,21
4h,0.02,0.015,5,18,56,14.285714285714285,14
4h,0.02,0.015,5,22,48,10.0,20
4h,0.02,0.015,5,22,52,10.526315789473683,19
4h,0.02,0.015,5,22,56,14.285714285714285,14
4h,0.02,0.015,10,14,48,61.111111111111114,18
4h,0.02,0.015,10,14,52,56.25,16
4h,0.02,0.015,10,14,56,44.44444444444444,9
4h,0.02,0.015,10,18,48,61.111111111111114,18
4h,0.02,0.015,10,18,52,56.25,16
4h,0.02,0.015,10,18,56,44.44444444444444,9
4h,0.02,0.015,10,22,48,53.333333333333336,15
4h,0.02,0.015,10,22,52,50.0,14
4h,0.02,0.015,10,22,56,44.44444444444444,9
4h,0.02,0.015,15,14,48,100.0,13
4h,0.02,0.015,15,14,52,100.0,11
4h,0.02,0.015,15,14,56,100.0,4
4h,0.02,0.015,15,18,48,100.0,13
4h,0.02,0.015,15,18,52,100.0,11
4h,0.02,0.015,15,18,56,100.0,4
4h,0.02,0.015,15,22,48,100.0,10
4h,0.02,0.015,15,22,52,100.0,9
4h,0.02,0.015,15,22,56,100.0,4
4h,0.02,0.02,5,14,48,21.73913043478261,23
4h,0.02,0.02,5,14,52,19.047619047619047,21
4h,0.02,0.02,5,14,56,14.285714285714285,14
4h,0.02,0.02,5,18,48,21.73913043478261,23
4h,0.02,0.02,5,18,52,19.047619047619047,21
4h,0.02,0.02,5,18,56,14.285714285714285,14
4h,0.02,0.02,5,22,48,10.0,20
4h,0.02,0.02,5,22,52,10.526315789473683,19
4h,0.02,0.02,5,22,56,14.285714285714285,14
4h,0.02,0.02,10,14,48,61.111111111111114,18
4h,0.02,0.02,10,14,52,56.25,16
4h,0.02,0.02,10,14,56,44.44444444444444,9
4h,0.02,0.02,10,18,48,61.111111111111114,18
4h,0.02,0.02,10,18,52,56.25,16
4h,0.02,0.02,10,18,56,44.44444444444444,9
4h,0.02,0.02,10,22,48,53.333333333333336,15
4h,0.02,0.02,10,22,52,50.0,14
4h,0.02,0.02,10,22,56,44.44444444444444,9
4h,0.02,0.02,15,14,48,100.0,13
4h,0.02,0.02,15,14,52,100.0,11
4h,0.02,0.02,15,14,56,100.0,4
4h,0.02,0.02,15,18,48,100.0,13
4h,0.02,0.02,15,18,52,100.0,11
4h,0.02,0.02,15,18,56,100.0,4
4h,0.02,0.02,15,22,48,100.0,10
4h,0.02,0.02,15,22,52,100.0,9
4h,0.02,0.02,15,22,56,100.0,4
1d,0.005,0.01,5,14,48,83.33333333333334,24
1d,0.005,0.01,5,14,52,86.36363636363636,22
1d,0.005,0.01,5,14,56,83.33333333333334,18
1d,0.005,0.01,5,18,48,83.33333333333334,24
1d,0.005,0.01,5,18,52,86.36363636363636,22
1d,0.005,0.01,5,18,56,83.33333333333334,18
1d,0.005,0.01,5,22,48,80.95238095238095,21
1d,0.005,0.01,5,22,52,84.21052631578947,19
1d,0.005,0.01,5,22,56,82.35294117647058,17
1d,0.005,0.01,10,14,48,80.0,20
1d,0.005,0.01,10,14,52,83.33333333333334,18
1d,0.005,0.01,10,14,56,82.35294117647058,17
1d,0.005,0.01,10,18,48,80.0,20
1d,0.005,0.01,10,18,52,83.33333333333334,18
1d,0.005,0.01,10,18,56,82.35294117647058,17
1d,0.005,0.01,10,22,48,77.77777777777779,18
1d,0.005,0.01,10,22,52,81.25,16
1d,0.005,0.01,10,22,56,81.25,16
1d,0.005,0.01,15,14,48,80.0,15
1d,0.005,0.01,15,14,52,80.0,15
1d,0.005,0.01,15,14,56,80.0,15
1d,0.005,0.01,15,18,48,80.0,15
1d,0.005,0.01,15,18,52,80.0,15
1d,0.005,0.01,15,18,56,80.0,15
1d,0.005,0.01,15,22,48,80.0,15
1d,0.005,0.01,15,22,52,80.0,15
1d,0.005,0.01,15,22,56,80.0,15
1d,0.005,0.015,5,14,48,83.33333333333334,24
1d,0.005,0.015,5,14,52,86.36363636363636,22
1d,0.005,0.015,5,14,56,83.33333333333334,18
1d,0.005,0.015,5,18,48,83.33333333333334,24
1d,0.005,0.015,5,18,52,86.36363636363636,22
1d,0.005,0.015,5,18,56,83.33333333333334,18
1d,0.005,0.015,5,22,48,80.95238095238095,21
1d,0.005,0.015,5,22,52,84.21052631578947,19
1d,0.005,0.015,5,22,56,82.35294117647058,17
1d,0.005,0.015,10,14,48,80.0,20
1d,0.005,0.015,10,14,52,83.33333333333334,18
1d,0.005,0.015,10,14,56,82.35294117647058,17
1d,0.005,0.015,10,18,48,80.0,20
1d,0.005,0.015,10,18,52,83.33333333333334,18
1d,0.005,0.015,10,18,56,82.35294117647058,17
1d,0.005,0.015,10,22,48,77.77777777777779,18
1d,0.005,0.015,10,22,52,81.25,16
1d,0.005,0.015,10,22,56,81.25,16
1d,0.005,0.015,15,14,48,80.0,15
1d,0.005,0.015,15,14,52,80.0,15
1d,0.005,0.015,15,14,56,80.0,15
1d,0.005,0.015,15,18,48,80.0,15
1d,0.005,0.015,15,18,52,80.0,15
1d,0.005,0.015,15,18,56,80.0,15
1d,0.005,0.015,15,22,48,80.0,15
1d,0.005,0.015,15,22,52,80.0,15
1d,0.005,0.015,15,22,56,80.0,15
1d,0.005,0.02,5,14,48,87.5,24
1d,0.005,0.02,5,14,52,86.36363636363636,22
1d,0.005,0.02,5,14,56,83.33333333333334,18
1d,0.005,0.02,5,18,48,87.5,24
1d,0.005,0.02,5,18,52,86.36363636363636,22
1d,0.005,0.02,5,18,56,83.33333333333334,18
1d,0.005,0.02,5,22,48,85.71428571428571,21
1d,0.005,0.02,5,22,52,84.21052631578947,19
1d,0.005,0.02,5,22,56,82.35294117647058,17
1d,0.005,0.02,10,14,48,85.0,20
1d,0.005,0.02,10,14,52,83.33333333333334,18
1d,0.005,0.02,10,14,56,82.35294117647058,17
1d,0.005,0.02,10,18,48,85.0,20
1d,0.005,0.02,10,18,52,83.33333333333334,18
1d,0.005,0.02,10,18,56,82.35294117647058,17
1d,0.005,0.02,10,22,48,83.33333333333334,18
1d,0.005,0.02,10,22,52,81.25,16
1d,0.005,0.02,10,22,56,81.25,16
1d,0.005,0.02,15,14,48,80.0,15
1d,0.005,0.02,15,14,52,80.0,15
1d,0.005,0.02,15,14,56,80.0,15
1d,0.005,0.02,15,18,48,80.0,15
1d,0.005,0.02,15,18,52,80.0,15
1d,0.005,0.02,15,18,56,80.0,15
1d,0.005,0.02,15,22,48,80.0,15
1d,0.005,0.02,15,22,52,80.0,15
1d,0.005,0.02,15,22,56,80.0,15
1d,0.01,0.01,5,14,48,58.333333333333336,24
1d,0.01,0.01,5,14,52,59.09090909090909,22
1d,0.01,0.01,5,14,56,55.55555555555556,18
1d,0.01,0.01,5,18,48,58.333333333333336,24
1d,0.01,0.01,5,18,52,59.09090909090909,22
1d,0.01,0.01,5,18,56,55.55555555555556,18
1d,0.01,0.01,5,22,48,57.14285714285714,21
1d,0.01,0.01,5,22,52,57.89473684210527,19
1d,0.01,0.01,5,22,56,58.82352941176471,17
1d,0.01,0.01,10,14,48,60.0,20
1d,0.01,0.01,10,14,52,61.111111111111114,18
1d,0.01,0.01,10,14,56,58.82352941176471,17
1d,0.01,0.01,10,18,48,60.0,20
1d,0.01,0.01,10,18,52,61.111111111111114,18
1d,0.01,0.01,10,18,56,58.82352941176471,17
1d,0.01,0.01,10,22,48,61.111111111111114,18
1d,0.01,0.01,10,22,52,62.5,16
1d,0.01,0.01,10,22,56,62.5,16
1d,0.01,0.01,15,14,48,60.0,15
1d,0.01,0.01,15,14,52,60.0,15
1d,0.01,0.01,15,14,56,60.0,15
1d,0.01,0.01,15,18,48,60.0,15
1d,0.01,0.01,15,18,52,60.0,15
1d,0.01,0.01,15,18,56,60.0,15
1d,0.01,0.01,15,22,48,60.0,15
1d,0.01,0.01,15,22,52,60.0,15
1d,0.01,0.01,15,22,56,60.0,15
1d,0.01,0.015,5,14,48,62.5,24
1d,0.01,0.015,5,14,52,63.63636363636363,22
1d,0.01,0.015,5,14,56,61.111111111111114,18
1d,0.01,0.015,5,18,48,62.5,24
1d,0.01,0.015,5,18,52,63.63636363636363,22
1d,0.01,0.015,5,18,56,61.111111111111114,18
1d,0.01,0.015,5,22,48,61.904761904761905,21
1d,0.01,0.015,5,22,52,63.1578947368421,19
1d,0.01,0.015,5,22,56,64.70588235294117,17
1d,0.01,0.015,10,14,48,65.0,20
1d,0.01,0.015,10,14,52,66.66666666666666,18
1d,0.01,0.015,10,14,56,64.70588235294117,17
1d,0.01,0.015,10,18,48,65.0,20
1d,0.01,0.015,10,18,52,66.66666666666666,18
1d,0.01,0.015,10,18,56,64.70588235294117,17
1d,0.01,0.015,10,22,48,66.66666666666666,18
1d,0.01,0.015,10,22,52,68.75,16
1d,0.01,0.015,10,22,56,68.75,16
1d,0.01,0.015,15,14,48,66.66666666666666,15
1d,0.01,0.015,15,14,52,66.66666666666666,15
1d,0.01,0.015,15,14,56,66.66666666666666,15
1d,0.01,0.015,15,18,48,66.66666666666666,15
1d,0.01,0.015,15,18,52,66.66666666666666,15
1d,0.01,0.015,15,18,56,66.66666666666666,15
1d,0.01,0.015,15,22,48,66.66666666666666,15
1d,0.01,0.015,15,22,52,66.66666666666666,15
1d,0.01,0.015,15,22,56,66.66666666666666,15
1d,0.01,0.02,5,14,48,66.66666666666666,24
1d,0.01,0.02,5,14,52,63.63636363636363,22
1d,0.01,0.02,5,14,56,61.111111111111114,18
1d,0.01,0.02,5,18,48,66.66666666666666,24
1d,0.01,0.02,5,18,52,63.63636363636363,22
1d,0.01,0.02,5,18,56,61.111111111111114,18
1d,0.01,0.02,5,22,48,66.66666666666666,21
1d,0.01,0.02,5,22,52,63.1578947368421,19
1d,0.01,0.02,5,22,56,64.70588235294117,17
1d,0.01,0.02,10,14,48,70.0,20
1d,0.01,0.02,10,14,52,66.66666666666666,18
1d,0.01,0.02,10,14,56,64.70588235294117,17
1d,0.01,0.02,10,18,48,70.0,20
1d,0.01,0.02,10,18,52,66.66666666666666,18
1d,0.01,0.02,10,18,56,64.70588235294117,17
1d,0.01,0.02,10,22,48,72.22222222222221,18
1d,0.01,0.02,10,22,52,68.75,16
1d,0.01,0.02,10,22,56,68.75,16
1d,0.01,0.02,15,14,48,66.66666666666666,15
1d,0.01,0.02,15,14,52,66.66666666666666,15
1d,0.01,0.02,15,14,56,66.66666666666666,15
1d,0.01,0.02,15,18,48,66.66666666666666,15
1d,0.01,0.02,15,18,52,66.66666666666666,15
1d,0.01,0.02,15,18,56,66.66666666666666,15
1d,0.01,0.02,15,22,48,66.66666666666666,15
1d,0.01,0.02,15,22,52,66.66666666666666,15
1d,0.01,0.02,15,22,56,66.66666666666666,15
1d,0.02,0.01,5,14,48,33.33333333333333,24
1d,0.02,0.01,5,14,52,31.818181818181817,22
1d,0.02,0.01,5,14,56,27.77777777777778,18
1d,0.02,0.01,5,18,48,33.33333333333333,24
1d,0.02,0.01,5,18,52,31.818181818181817,22
1d,0.02,0.01,5,18,56,27.77777777777778,18
1d,0.02,0.01,5,22,48,28.57142857142857,21
1d,0.02,0.01,5,22,52,26.31578947368421,19
1d,0.02,0.01,5,22,56,29.411764705882355,17
1d,0.02,0.01,10,14,48,35.0,20
1d,0.02,0.01,10,14,52,33.33333333333333,18
1d,0.02,0.01,10,14,56,29.411764705882355,17
1d,0.02,0.01,10,18,48,35.0,20
1d,0.02,0.01,10,18,52,33.33333333333333,18
1d,0.02,0.01,10,18,56,29.411764705882355,17
1d,0.02,0.01,10,22,48,33.33333333333333,18
1d,0.02,0.01,10,22,52,31.25,16
1d,0.02,0.01,10,22,56,31.25,16
1d,0.02,0.01,15,14,48,33.33333333333333,15
1d,0.02,0.01,15,14,52,33.33333333333333,15
1d,0.02,0.01,15,14,56,33.33333333333333,15
1d,0.02,0.01,15,18,48,33.33333333333333,15
1d,0.02,0.01,15,18,52,33.33333333333333,15
1d,0.02,0.01,15,18,56,33.33333333333333,15
1d,0.02,0.01,15,22,48,33.33333333333333,15
1d,0.02,0.01,15,22,52,33.33333333333333,15
1d,0.02,0.01,15,22,56,33.33333333333333,15
1d,0.02,0.015,5,14,48,45.83333333333333,24
1d,0.02,0.015,5,14,52,45.45454545454545,22
1d,0.02,0.015,5,14,56,44.44444444444444,18
1d,0.02,0.015,5,18,48,45.83333333333333,24
1d,0.02,0.015,5,18,52,45.45454545454545,22
1d,0.02,0.015,5,18,56,44.44444444444444,18
1d,0.02,0.015,5,22,48,42.857142857142854,21
1d,0.02,0.015,5,22,52,42.10526315789473,19
1d,0.02,0.015,5,22,56,47.05882352941176,17
1d,0.02,0.015,10,14,48,50.0,20
1d,0.02,0.015,10,14,52,50.0,18
1d,0.02,0.015,10,14,56,47.05882352941176,17
1d,0.02,0.015,10,18,48,50.0,20
1d,0.02,0.015,10,18,52,50.0,18
1d,0.02,0.015,10,18,56,47.05882352941176,17
1d,0.02,0.015,10,22,48,50.0,18
1d,0.02,0.015,10,22,52,50.0,16
1d,0.02,0.015,10,22,56,50.0,16
1d,0.02,0.015,15,14,48,53.333333333333336,15
1d,0.02,0.015,15,14,52,53.333333333333336,15
1d,0.02,0.015,15,14,56,53.333333333333336,15
1d,0.02,0.015,15,18,48,53.333333333333336,15
1d,0.02,0.015,15,18,52,53.333333333333336,15
1d,0.02,0.015,15,18,56,53.333333333333336,15
1d,0.02,0.015,15,22,48,53.333333333333336,15
1d,0.02,0.015,15,22,52,53.333333333333336,15
1d,0.02,0.015,15,22,56,53.333333333333336,15
1d,0.02,0.02,5,14,48,45.83333333333333,24
1d,0.02,0.02,5,14,52,45.45454545454545,22
1d,0.02,0.02,5,14,56,44.44444444444444,18
1d,0.02,0.02,5,18,48,45.83333333333333,24
1d,0.02,0.02,5,18,52,45.45454545454545,22
1d,0.02,0.02,5,18,56,44.44444444444444,18
1d,0.02,0.02,5,22,48,42.857142857142854,21
1d,0.02,0.02,5,22,52,42.10526315789473,19
1d,0.02,0.02,5,22,56,47.05882352941176,17
1d,0.02,0.02,10,14,48,50.0,20
1d,0.02,0.02,10,14,52,50.0,18
1d,0.02,0.02,10,14,56,47.05882352941176,17
1d,0.02,0.02,10,18,48,50.0,20
1d,0.02,0.02,10,18,52,50.0,18
1d,0.02,0.02,10,18,56,47.05882352941176,17
1d,0.02,0.02,10,22,48,50.0,18
1d,0.02,0.02,10,22,52,50.0,16
1d,0.02,0.02,10,22,56,50.0,16
1d,0.02,0.02,15,14,48,53.333333333333336,15
1d,0.02,0.02,15,14,52,53.333333333333336,15
1d,0.02,0.02,15,14,56,53.333333333333336,15
1d,0.02,0.02,15,18,48,53.333333333333336,15
1d,0.02,0.02,15,18,52,53.333333333333336,15
1d,0.02,0.02,15,18,56,53.333333333333336,15
1d,0.02,0.02,15,22,48,53.333333333333336,15
1d,0.02,0.02,15,22,52,53.333333333333336,15
1d,0.02,0.02,15,22,56,53.333333333333336,15
